filename,url_if_available,generated-by-what-tool,format,provenance
zephyr-v3.0.0-rc3.spdx,https://github.com/zephyrproject-rtos/zephyr/releases,reuse-0.14.0,tag-value,original
julia.spdx,https://github.com/JuliaLang/julia/blob/11bac432b5aeb53692d5a8fbac87d9afbc5d4762/julia.spdx.json,manual,tag-value,derived
julia.spdx.json,https://github.com/JuliaLang/julia/blob/11bac432b5aeb53692d5a8fbac87d9afbc5d4762/julia.spdx.json,manual,json,original
powershell.spdx.json,https://github.com/PowerShell/PowerShell/releases/download/v7.2.1/powershell-7.2.1-linux-alpine-x64.tar.gz,Microsoft.SBOMTool-2.0.88,json,
powershell.spdx,https://github.com/PowerShell/PowerShell/releases/download/v7.2.1/powershell-7.2.1-linux-alpine-x64.tar.gz,Microsoft.SBOMTool-2.0.88,tag-value,
grype-sbom.spdx.json,https://github.com/anchore/grype/releases/download/v0.32.0/sbom.spdx.json,syft,json,original
grype-sbom.spdx,https://github.com/anchore/grype/releases/download/v0.32.0/sbom.spdx.json,syft,tag-value,derived
flux_0.26.3_sbom.spdx.json,https://github.com/fluxcd/flux2/releases/download/v0.26.3/flux_0.26.3_sbom.spdx.json,syft,json,original
flux_0.26.3_sbom.json,https://github.com/fluxcd/flux2/releases/download/v0.26.3/flux_0.26.3_sbom.spdx.json,syft,tag-value,derived
chronicle-sbom.spdx.json,https://github.com/anchore/chronicle/releases/download/v0.3.0/sbom.spdx.json,syft-0.26.0,json,original
chronicle-sbom.spdx,https://github.com/anchore/chronicle/releases/download/v0.3.0/sbom.spdx.json,syft-0.26.0,tag-value,derived
flagger_1.18.0_sbom_spdx.json,https://github.com/fluxcd/flagger/releases/download/v1.18.0/flagger_1.18.0_sbom.spdx.json,syft-0.33.0,json,original
flagger_1.18.0_sbom_spdx,https://github.com/fluxcd/flagger/releases/download/v1.18.0/flagger_1.18.0_sbom.spdx.json,syft-0.33.0,tag-value,derived
Mqtt-client-sbom.spdx,https://github.com/shamblett/mqtt_client/blob/1b014e8ea793415bb0e8ed37d29ac9a763a009db/sbom.spdx,https://pub.dev/packages/sbom,tag-value,original
kustomizer_2.1.0_sbom.spdx.json,https://github.com/stefanprodan/kustomizer/releases/download/v2.1.0/kustomizer_2.1.0_sbom.spdx.json,syft,json,original
kustomizer_2.1.0_sbom.spdx,https://github.com/stefanprodan/kustomizer/releases/download/v2.1.0/kustomizer_2.1.0_sbom.spdx.json,syft,tag-value,derived
notification-controller_0.21.0_sbom.spdx.json,https://github.com/fluxcd/notification-controller/releases/download/v0.21.0/notification-controller_0.21.0_sbom.spdx.json,syft,json,original
notification-controller_0.21.0_sbom.spdx,https://github.com/fluxcd/notification-controller/releases/download/v0.21.0/notification-controller_0.21.0_sbom.spdx.json,syft,tag-value,derived
source-controller_0.21.2_sbom.spdx.json,https://github.com/fluxcd/source-controller/releases/download/v0.21.2/source-controller_0.21.2_sbom.spdx.json,syft,json,original
source-controller_0.21.2_sbom.spdx,https://github.com/fluxcd/source-controller/releases/download/v0.21.2/source-controller_0.21.2_sbom.spdx.json,syft,tag-value,derived
image-reflector-controller_0.16.0_sbom.spdx,https://github.com/fluxcd/image-reflector-controller/releases/download/v0.16.0/image-reflector-controller_0.16.0_sbom.spdx.json,syft,tag-value,derived
image-reflector-controller_0.16.0_sbom.spdx.json,https://github.com/fluxcd/image-reflector-controller/releases/download/v0.16.0/image-reflector-controller_0.16.0_sbom.spdx.json,syft,json,original
image-automation-controller_0.20.0_sbom.spdx.json,https://github.com/fluxcd/image-automation-controller/releases/download/v0.20.0/image-automation-controller_0.20.0_sbom.spdx.json,syft,json,original
image-automation-controller_0.20.0_sbom.spdx,https://github.com/fluxcd/image-automation-controller/releases/download/v0.20.0/image-automation-controller_0.20.0_sbom.spdx.json,syft,tag-value,derived
helm-controller_0.16.0_sbom.spdx.json,https://github.com/fluxcd/helm-controller/releases/download/v0.16.0/helm-controller_0.16.0_sbom.spdx.json,syft,json,original
helm-controller_0.16.0_sbom.spdx,https://github.com/fluxcd/helm-controller/releases/download/v0.16.0/helm-controller_0.16.0_sbom.spdx.json,syft,tag-value,derived
xml2json-sbom.spdx,https://github.com/shamblett/xml2json/archive/refs/tags/5.3.2.zip,https://pub.dev/packages/sbom,tag-value,original
cbor-sbom.spdx,https://github.com/shamblett/cbor/archive/refs/tags/5.0.0.zip,https://pub.dev/packages/sbom,tag-value,original
usbutils.spdx,https://github.com/gregkh/usbutils/blob/master/usbutils.spdx,reuse-0.13.0,tag-value,original
missionlz.spdx.json,https://github.com/Azure/missionlz/blob/main/_manifest/spdx_2.2/manifest.spdx.json,Microsoft.SBOMTool-2.1.18,json,original
maubot-spdx.json,https://github.com/maubot/maubot/blob/master/maubot/cli/res/spdx.json.zip,Unknown,json,original
constellation-spdx.json,https://github.com/edgelesssys/constellation/releases/tag/v2.2.2,syft,json,original
vast-sbom.spdx,https://github.com/tenzir/vast/releases/tag/v2.3.1,Cdxgen,json,original
win-x64-manifest.spdx.json,https://github.com/microsoft/sbom-tool/releases/tag/v0.3.0,MS sbom-tool,json,original
fatbom-sbom.spdx,https://github.com/sbs2001/fatbom/releases/tag/v0.0.2,Multiple,tag-value,original
